City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Plaster Rock,CA,40.59,overcast clouds,46.9065,-67.39,Settler's Inn & Motel
Kashiwazaki,JP,42.89,overcast clouds,37.3667,138.55,Hotel Areaone Banjinmisaki
Hobart,AU,57.06,light rain,-42.8794,147.3294,Hotel Grand Chancellor Hobart
Punta Arenas,CL,51.12,light rain,-53.15,-70.9167,Hotel Cabo de Hornos
Busselton,AU,56.08,clear sky,-33.65,115.3333,Esplanade Hotel
Mar Del Plata,AR,65.88,clear sky,-38.0023,-57.5575,Hotel Amsterdam
Kaitangata,NZ,50.63,overcast clouds,-46.2817,169.8464,
Mataura,NZ,58.48,clear sky,-46.1927,168.8643,Falls Hotel
Tasiilaq,GL,30.36,overcast clouds,65.6145,-37.6368,Hotel Angmagssalik
Takab,IR,33.04,clear sky,36.4009,47.1133,Ranji HOTEL Takab
Sitka,US,31.89,overcast clouds,57.0531,-135.33,Westmark Sitka
Bredasdorp,ZA,56.52,few clouds,-34.5322,20.0403,Victoria Hotel - Bredasdorp
Torbay,CA,32.58,broken clouds,47.6666,-52.7314,
Abhar,IR,37.85,clear sky,36.1468,49.218,Gilas Restaurant
Ribeira Grande,PT,64.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
Olafsvik,IS,35.78,moderate rain,64.8945,-23.7142,Hotel Olafsvik
Muroto,JP,56.37,clear sky,33.2833,134.15,Ake no Hoshi
Komsomolskiy,UZ,38.12,mist,40.4272,71.7189,TANTANA HOTEL FERGANA
San Isidro,PE,68.25,broken clouds,-12.1167,-77.05,AC Hotel by Marriott Lima Miraflores
Adrar,MR,64.26,overcast clouds,20.5022,-10.0711,
Seoul,KR,38.64,mist,37.5683,126.9778,Four Seasons Hotel Seoul
Hoquiam,US,49.01,mist,46.9809,-123.8893,Travelodge by Wyndham Aberdeen
East London,ZA,65.7,light rain,-33.0153,27.9116,Hotel Osner
Stornoway,GB,39.16,light rain,58.2093,-6.3865,Royal Hotel
Kleive,NO,30.58,overcast clouds,62.7954,7.6359,
Locri,IT,52.16,few clouds,38.2414,16.2623,Grand Hotel President
Hermanus,ZA,59.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
Cuauhtemoc,MX,63.72,clear sky,28.4167,-106.8667,Microtel Inn & Suites by Wyndham Cuauhtemoc
Yatou,CN,40.69,clear sky,37.15,122.3833,7Days Premium Rongcheng High speed rail station
Misratah,LY,56.26,broken clouds,32.3754,15.0925,الصفوة للشقق المفروشة
Eaton Socon,GB,39.02,scattered clouds,52.2175,-0.2893,"The Waterfront Hotel, Spa & Golf"
Bealanana,MG,60.44,few clouds,-14.55,48.7333,
Jamestown,US,38.08,overcast clouds,42.097,-79.2353,Chautauqua Harbor Hotel
Longyearbyen,SJ,35.44,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
Ushuaia,AR,58.66,few clouds,-54.8,-68.3,Hotel Los Yámanas de Ushuaia
Cape Town,ZA,61.27,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
Cidreira,BR,69.67,scattered clouds,-30.1811,-50.2056,Hotel Castelo
Jalu,LY,58.57,clear sky,29.0331,21.5482,إستراحة صلاح الصادق
Albany,US,58.64,overcast clouds,42.6001,-73.9662,
Ojinaga,MX,65.35,haze,29.5667,-104.4167,Riata Inn Presidio
Tateyama,JP,55.09,overcast clouds,34.9833,139.8667,Hotel Migrant
Vila,PT,44.33,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae
Shingu,JP,57.49,overcast clouds,33.7333,135.9833,新宮ゲストハウス奏
Bluff,NZ,58.8,clear sky,-46.6,168.3333,Land's End Boutique Hotel
Tarancon,ES,48.49,broken clouds,40.0085,-3.0073,ANSARES HOTEL
Wanaka,NZ,50.67,broken clouds,-44.7,169.15,"Edgewater Hotel - Lake Wanaka, New Zealand"
Sabha,LY,49.19,clear sky,27.0377,14.4283,فندق المواجيد
Port Alfred,ZA,64.98,broken clouds,-33.5906,26.891,Royal St Andrews Hotel
Ponta Do Sol,PT,65.03,broken clouds,32.6667,-17.1,Enotel Sunset Bay
Filadelfia,US,65.01,clear sky,39.9523,-75.1638,Hampton Inn Philadelphia Center City-Convention Center
Taga,RO,39.69,overcast clouds,46.95,24.05,
Pacific Grove,US,64.81,overcast clouds,36.6177,-121.9166,Hotel 1110
Ulladulla,AU,67.1,clear sky,-35.35,150.4667,Bannisters by the Sea
Tezu,IN,64.65,overcast clouds,27.9167,96.1667,Oshin Hotel
New Norfolk,AU,56.7,light rain,-42.7826,147.0587,
Waipawa,NZ,55.45,light rain,-41.4122,175.5153,
Jinxiang,CN,53.82,clear sky,27.4327,120.6062,
Machico,PT,65.03,broken clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
Kodiak,US,36.91,moderate rain,57.79,-152.4072,Kodiak Compass Suites
Fort-Shevchenko,KZ,45.39,scattered clouds,44.5086,50.263,Dostyk Hotel
Faya,SA,54.12,clear sky,18.3851,42.4509,
Hofn,IS,37.99,overcast clouds,64.2539,-15.2082,Hótel Höfn
San Jeronimo,PE,56.14,light rain,-11.9472,-75.2829,Hotel Loma Verde
Nurota,UZ,46.49,light rain,40.5614,65.6886,Guest House Ruslan Nurata & Tours
Kaputa,ZM,68.61,overcast clouds,-8.4689,29.6619,Wittanda Executive Lodge
Airai,TL,60.46,broken clouds,-8.9266,125.4092,
Lakes Entrance,AU,69.17,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
Lima,PE,67.14,heavy intensity rain,-12.0432,-77.0282,Sheraton Lima Hotel & Convention Center
Vakhsh,TJ,44.82,broken clouds,37.7149,68.8346,
Antofagasta,CL,65.5,scattered clouds,-23.65,-70.4,Hampton by Hilton Antofagasta
Tahta,EG,61.48,overcast clouds,26.7693,31.5021,منتجع ال فؤاد عباس
Taoudenni,ML,65.19,overcast clouds,22.6783,-3.9836,
Bethel,US,57.49,broken clouds,41.3712,-73.414,Hampton Inn Danbury
Port Hawkesbury,CA,44.19,moderate rain,45.6169,-61.3485,Maritime Inn Port Hawkesbury
Lebu,CL,61.92,clear sky,-37.6167,-73.65,Hotel Plaza Lebu
Port Elizabeth,ZA,63.1,scattered clouds,-33.918,25.5701,The Grand Hotel
Raipur,IN,66.09,clear sky,21.2333,81.6333,"Hotel Singhania Sarovar Portico,Raipur"
Saldanha,ZA,59.05,few clouds,-33.0117,17.9442,Saldanha Bay Hotel
Mount Gambier,AU,57.11,scattered clouds,-37.8333,140.7667,Southgate Motel
Shache,CN,30.04,clear sky,38.4167,77.2406,Shache Wanghou Hotel
Coquimbo,CL,63.48,clear sky,-29.9533,-71.3436,apart hotel la herradura
Te Anau,NZ,57.36,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
Victoria,HK,65.32,clear sky,22.2855,114.1577,Park Hotel Hong Kong
Goderich,CA,34.92,light rain,43.7501,-81.7165,Comfort Inn & Suites
Ahipara,NZ,69.89,overcast clouds,-35.1667,173.1667,The Huts
Maryville,US,58.19,broken clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
Concepcion,CL,60.55,broken clouds,-36.827,-73.0498,ibis Concepción
Lata,PT,57.04,overcast clouds,40.1629,-8.3327,
Castro,BR,62.46,overcast clouds,-24.7911,-50.0119,Buganville Palace Hotel
North Platte,US,31.98,clear sky,41.1239,-100.7654,Husker Inn
Halifax,CA,54.09,overcast clouds,44.6453,-63.5724,Atlantica Hotel Halifax
Asau,RO,33.96,broken clouds,46.4333,26.4,
Ozernovskiy,RU,37.36,light rain,51.5,156.5167,
Fortuna,US,51.66,broken clouds,40.5982,-124.1573,Comfort Inn & Suites Redwood Country
Tukrah,LY,60.28,few clouds,32.5341,20.5791,مصيف مرحبا للعائلات
Klaksvik,FO,41.92,overcast clouds,62.2266,-6.589,Hotel Klaksvík
Eskisehir,TR,48.11,broken clouds,39.7767,30.5206,TASİGO Eskişehir
Esperance,AU,55.24,few clouds,-33.8667,121.9,Esperance Chalet Village
